ID,Seguidores,Siguiendo,Favoritos Cuenta
TheFoodTeamES,141,883,9
jluismateo10,4372,4297,2921
RaquelCantos,847,673,5016
custolopez,227,304,2168
Marisakabe1500,17,136,45
MilaMChef3,2685,588,11280
Olivadelsur,4831,4713,1149
TierrasdeCanena,801,720,422
xelu_burgos,101,168,488
elmonastrell,2388,584,1503
mariazafran,3315,783,3662
agagoaira,35,60,471
DespensaDeLolin,427,420,0
fortalezas_,720,657,207
cubdegloria,1042,255,31
UniondeUniones,1705,672,643
neuronaex,760,517,502
teresa_sin,1438,2303,35432
POPULOBAEZA,1050,444,561
CKLcomunica,2454,1936,4194
CoopsAgroAND,1201,365,313
Alicun_rest,78,270,21
valduezaestate,107,102,14
Antojo_cocina,2471,1268,1492
ARTUROGOMEZ13,250,239,394
CasaPrimicia,2469,1357,817
olgalasher,114,315,20
BellotaSalamanc,5,1,0
RN_revista,3074,1467,978
JUSTICIAXDAIANA,156,156,91
marlunav,1206,710,218
Oleoturismia,2580,822,228
escueladeaceite,2826,1090,103
qcom_es,3170,1201,830
RajusIndianCity,1106,474,356
AlimentosdeExtr,68,143,30
DondeMarian,216,454,9
Rh_RealEstate,1590,4939,3270
JHONERIVERA,53,171,84
ferrusoeste,905,1809,3749
paulagarcia3,53987,1857,13009
JugoSocial,8213,3866,12244
thewayral,832,670,7294
PalaciodeUbeda,233,164,95
_tuangel_,2140,1034,9657
VallaTweets,3125,1964,11093
cholloslowcost,896,1085,10584
vaderedes,602,393,10845
Pedhervas,1130,593,1871
fanclubdeivitdj,3626,4997,5907
Romygamy1,914,4979,13836
kalikatas,447,448,1820
barlasteresas,158,243,7
SEVconLengua,272,549,461
PERREO_BABY,2169,3005,1753
Alojam_Delgado,173,420,10
Basilippo,1276,741,717
machouruguayo22,13279,13612,7814
DEIVITDEEJAY,70323,60432,18790
JrRendo,1206,1354,10162
MJMesaOlea,2022,231,672
veganavarra,11,41,57
isaresina,607,306,3656
avavimallorca,12,17,44
LeonorGPajaron,78,157,373
tariklatorre,209,655,264
muozjuvenal,5,74,31
GRUPOVAGUADA,1691,848,13432
elmotivodeanto,84,711,316
enominer,339,285,450
pcsr5,140,368,23
abs_sumilleres,165,168,281
LydiaEpunto,804,717,1110
ab_borrell,285,550,25
somurmejo,94,132,4182
pagodeespejo,130,363,99
Javiermartin1e,316,344,4260
enmivestidor,8471,1555,25768
DjTrujilloLS1,55,150,356
BMesaOlea,62,169,822
AceiteDOBaena,976,226,237
FranKikePineiro,2974,2418,5173
CocinaDelNegro,200,1427,101
amber_suit,1973,652,27211
Esenciandalusi,193,334,56
angmape,98,289,286
pepermed,164,291,3311
DoctorEnPeru,71,81,0
laALACENARoja,5462,2648,14287
saltandoladieta,1208,1345,899
MJ_SaludBelleza,738,776,5741
cincuentayque,3160,1117,62149
jtorresantolin,249,349,428
IUCastrodelRio,290,578,551
JaRodado,984,1419,7118
PepeluArteSacro,12420,7236,129601
noederecetas,1669,132,11632
AliciaHita,2180,1861,35354
HoraAmigas,1267,101,1721
CocodriloAstro2,93,189,1162
GLOBEXSAN_ES,199,211,1127
DonFoodie,204,241,392
JCilpiccione,244,242,66
